Title:,"Electricity consumption by households in the UK, 2000 to 2008",,,,,,,,
Year:,2000-2008,,,,,,,,
Geography:,England & Wales,,,,,,,,
Units:,TWh,,,,,,,,
Source:,DECC,,,,,,,,
URL:,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,
Nat. Statistic:,No,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,
Release Date:,Apr-10,,,,,,,,
Notes:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TWh,,,,,,,,,
,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008
Light,15.35,15.26,15.2,15.15,15.12,15.09,15.06,15.03,14.54
Cold,14.68,14.59,14.39,14.14,13.89,13.67,13.38,13.07,12.77
Wet,11.03,11.16,11.24,11.32,11.52,11.72,11.82,11.91,12.09
Consumer Electrics,14.1,14.63,15.11,15.88,16.7,17.07,17.32,17.65,17.75
Home Computing,2.68,3.04,3.41,3.76,4.25,4.67,4.99,5.26,5.44
Cooking,10.73,10.81,10.91,11.01,11.1,11.19,11.28,11.33,11.37
Total,68.57,69.49,70.26,71.26,72.58,73.42,73.86,74.24,73.97
